Date,Open,High,Low,Close
24-Mar-14,1867.67,1873.34,1849.69,1857.44
25-Mar-14,1859.48,1871.87,1855.96,1865.62
26-Mar-14,1867.09,1875.92,1852.56,1852.56
27-Mar-14,1852.11,1855.55,1842.11,1849.04
28-Mar-14,1850.07,1866.63,1850.07,1857.62
31-Mar-14,1859.16,1875.18,1859.16,1872.34
01-Apr-14,1873.96,1885.84,1873.96,1885.52
02-Apr-14,1886.61,1893.17,1883.79,1890.9
03-Apr-14,1891.43,1893.8,1882.65,1888.77
04-Apr-14,1890.25,1897.28,1863.26,1865.09
07-Apr-14,1863.92,1864.04,1841.48,1845.04
08-Apr-14,1845.48,1854.95,1837.49,1851.96
09-Apr-14,1852.64,1872.43,1852.38,1872.18
10-Apr-14,1872.28,1872.53,1830.87,1833.08
11-Apr-14,1830.65,1835.07,1814.36,1815.69
14-Apr-14,1818.18,1834.19,1815.8,1830.61
15-Apr-14,1831.45,1844.02,1816.29,1842.98
16-Apr-14,1846.01,1862.31,1846.01,1862.31
17-Apr-14,1861.73,1869.63,1856.72,1864.85
21-Apr-14,1865.79,1871.89,1863.18,1871.89
22-Apr-14,1872.57,1884.89,1872.57,1879.55
23-Apr-14,1879.32,1879.75,1873.91,1875.39
24-Apr-14,1881.97,1884.06,1870.24,1878.61
25-Apr-14,1877.72,1877.72,1859.7,1863.4
28-Apr-14,1865,1877.01,1850.61,1869.43
29-Apr-14,1870.78,1880.6,1870.78,1878.33
30-Apr-14,1877.1,1885.2,1872.69,1883.95
01-May-14,1884.39,1888.59,1878.04,1883.68
02-May-14,1885.3,1891.33,1878.5,1881.14
05-May-14,1879.45,1885.51,1866.77,1884.66
06-May-14,1883.69,1883.69,1867.72,1867.72
07-May-14,1868.53,1878.83,1859.79,1878.21
08-May-14,1877.39,1889.07,1870.05,1875.63
09-May-14,1875.27,1878.57,1867.02,1878.48
12-May-14,1880.03,1897.13,1880.03,1896.65
13-May-14,1896.75,1902.17,1896.06,1897.45
14-May-14,1897.13,1897.13,1885.77,1888.53
15-May-14,1888.16,1888.16,1862.36,1870.85
16-May-14,1871.19,1878.28,1864.82,1877.86
19-May-14,1876.66,1886,1872.42,1885.08
20-May-14,1884.88,1884.88,1868.14,1872.83
21-May-14,1873.34,1888.8,1873.34,1888.03
22-May-14,1888.19,1896.33,1885.39,1892.49
23-May-14,1893.32,1901.26,1893.32,1900.53
27-May-14,1902.01,1912.28,1902.01,1911.91
28-May-14,1911.77,1914.46,1907.3,1909.78
29-May-14,1910.6,1920.03,1909.82,1920.03
30-May-14,1920.33,1924.03,1916.64,1923.57
02-Jun-14,1923.87,1925.88,1915.98,1924.97
03-Jun-14,1923.07,1925.07,1918.79,1924.24
04-Jun-14,1923.06,1928.63,1918.6,1927.88
05-Jun-14,1928.52,1941.74,1922.93,1940.46
06-Jun-14,1942.41,1949.44,1942.41,1949.44
09-Jun-14,1948.97,1955.55,1947.16,1951.27
10-Jun-14,1950.34,1950.86,1944.64,1950.79
11-Jun-14,1949.37,1949.37,1940.08,1943.89
12-Jun-14,1943.35,1943.35,1925.78,1930.11
13-Jun-14,1930.8,1937.3,1927.69,1936.16
16-Jun-14,1934.84,1941.15,1930.91,1937.78
17-Jun-14,1937.15,1943.69,1933.55,1941.99
18-Jun-14,1942.73,1957.74,1939.29,1956.98
19-Jun-14,1957.5,1959.87,1952.26,1959.48
20-Jun-14,1960.45,1963.91,1959.17,1962.87
23-Jun-14,1962.92,1963.74,1958.89,1962.61
24-Jun-14,1961.97,1968.17,1948.34,1949.98
25-Jun-14,1949.27,1960.83,1947.49,1959.53
26-Jun-14,1959.89,1959.89,1944.69,1957.22
27-Jun-14,1956.56,1961.47,1952.18,1960.96
30-Jun-14,1960.79,1964.24,1958.22,1960.23
01-Jul-14,1962.29,1978.58,1962.29,1973.32
02-Jul-14,1973.06,1976.67,1972.58,1974.62
03-Jul-14,1975.88,1985.59,1975.88,1985.44
07-Jul-14,1984.22,1984.22,1974.88,1977.65
08-Jul-14,1976.39,1976.39,1959.46,1963.71
09-Jul-14,1965.1,1974.15,1965.1,1972.83
10-Jul-14,1966.67,1969.84,1952.86,1964.68
11-Jul-14,1965.76,1968.67,1959.63,1967.57
14-Jul-14,1969.86,1979.85,1969.86,1977.1
15-Jul-14,1977.36,1982.52,1965.34,1973.28
16-Jul-14,1976.35,1983.94,1975.67,1981.57
17-Jul-14,1979.75,1981.8,1955.59,1958.12
18-Jul-14,1961.54,1979.91,1960.82,1978.22
21-Jul-14,1976.93,1976.93,1965.77,1973.63
22-Jul-14,1975.65,1986.24,1975.65,1983.53
23-Jul-14,1985.32,1989.23,1982.44,1987.01
24-Jul-14,1988.07,1991.39,1985.79,1987.98
25-Jul-14,1984.6,1984.6,1974.37,1978.34
28-Jul-14,1978.25,1981.52,1967.31,1978.91
29-Jul-14,1980.03,1984.85,1969.95,1969.95
30-Jul-14,1973.21,1978.9,1962.42,1970.07
31-Jul-14,1965.14,1965.14,1930.67,1930.67
01-Aug-14,1929.8,1937.35,1916.37,1925.15
04-Aug-14,1926.62,1942.92,1921.2,1938.99
05-Aug-14,1936.34,1936.34,1913.77,1920.21
06-Aug-14,1917.29,1927.91,1911.45,1920.24
07-Aug-14,1923.03,1928.89,1904.78,1909.57
08-Aug-14,1910.35,1932.38,1909.01,1931.59
11-Aug-14,1933.43,1944.9,1933.43,1936.92
12-Aug-14,1935.73,1939.65,1928.29,1933.75
13-Aug-14,1935.6,1948.41,1935.6,1946.72
14-Aug-14,1947.41,1955.23,1947.41,1955.18
15-Aug-14,1958.87,1964.04,1941.5,1955.06
18-Aug-14,1958.36,1971.99,1958.36,1971.74
19-Aug-14,1972.73,1982.57,1972.73,1981.6
20-Aug-14,1980.46,1988.57,1977.68,1986.51
21-Aug-14,1986.82,1994.76,1986.82,1992.37
22-Aug-14,1992.6,1993.54,1984.76,1988.4
25-Aug-14,1991.74,2001.95,1991.74,1997.92
26-Aug-14,1998.59,2005.04,1998.59,2000.02
27-Aug-14,2000.54,2002.14,1996.2,2000.12
28-Aug-14,1997.42,1998.55,1990.52,1996.74
29-Aug-14,1998.45,2003.38,1994.65,2003.37
02-Sep-14,2004.07,2006.12,1994.85,2002.28
03-Sep-14,2003.57,2009.28,1998.14,2000.72
04-Sep-14,2001.67,2011.17,1992.54,1997.65
05-Sep-14,1998,2007.71,1990.1,2007.71
08-Sep-14,2007.17,2007.17,1995.6,2001.54
09-Sep-14,2000.73,2001.01,1984.61,1988.44
10-Sep-14,1988.41,1996.66,1982.99,1995.69
11-Sep-14,1992.85,1997.65,1985.93,1997.45
12-Sep-14,1996.74,1996.74,1980.26,1985.54
15-Sep-14,1986.04,1987.18,1978.48,1984.13
16-Sep-14,1981.93,2002.28,1979.06,1998.98
17-Sep-14,1999.3,2010.74,1993.29,2001.57
18-Sep-14,2003.07,2012.34,2003.07,2011.36
